Alphafold,ted_id,uniprot_acc,md5_domain,consensus_level,chopping,nres_domain,num_segments,plddt,num_helix_strand_turn,num_helix,num_strand,num_helix_strand,num_turn,proteome_id,cath_label,cath_assignment_level,cath_assignment_method,packing_density,norm_rg,tax_common_name,tax_scientific_name,tax_lineage,interactions
P42338,AF-P42338-F1-model_v4_TED04,P42338,c73b482d6336403813eeb4e8147f1950,medium,506-520_537-629,108,2,94.2554,12,8,0,8,4,9606,1.25.40.70,H,foldseek,11.364,0.292,Human,Homo sapiens,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Homo",[]
P42338,AF-P42338-F1-model_v4_TED05,P42338,d62a73cf4c0fdf2dc3a8e00ba60f2c6f,high,855-1065,211,1,88.675,29,8,5,13,16,9606,1.10.1070.11,H,foldseek,12.061,0.3,Human,Homo sapiens,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Homo",[]
O75626,AF-O75626-F1-model_v4_TED01,O75626,77d9af880634d34ec15db8026dba18b3,high,44-66_79-216,161,2,91.3976,37,3,12,15,22,9606,2.170.270.10,H,foldseek,11.808,0.303,Human,Homo_sapiens,"cellular_organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo",[]
O75626,AF-O75626-F1-model_v4_TED02,O75626,cc183960ae1ff4eb9a61926c9a138374,medium,567-601,35,1,79.7283,9,1,4,5,4,9606,"3.30.160,3.30.160",T,"foldseek,foldclass",8.833,0.302,Human,Homo_sapiens,"cellular_organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo",[]
O75626,AF-O75626-F1-model_v4_TED03,O75626,63269089e5b2d8dc0e91e2790fb64b86,medium,605-773,169,1,64.8847,26,8,6,14,12,9606,3.30.160.60,H,foldseek,9.79,0.312,Human,Homo_sapiens,"cellular_organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo",[]
P26232,AF-P26232-F1-model_v4_TED01,P26232,52b42d6ce3054ac71de63d97b9dd52be,high,14-41_56-145,118,2,85.8486,7,4,0,4,3,9606,1.20.120.230,H,foldseek,12.246,0.317,Human,Homo sapiens,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Homo",[]
P26232,AF-P26232-F1-model_v4_TED02,P26232,bddc8fdb41b780561c863bbdbbb5e751,high,188-263,76,1,92.702,4,3,0,3,1,9606,1.20.120.230,H,foldseek,10.75,0.379,Human,Homo sapiens,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Homo",[]
P26232,AF-P26232-F1-model_v4_TED03,P26232,a14112643de1d21dc83ce4b84c8c9cb1,high,274-381,108,1,90.7261,8,4,0,4,4,9606,1.20.120.230,H,foldseek,11.978,0.327,Human,Homo sapiens,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Homo",[]
P26232,AF-P26232-F1-model_v4_TED04,P26232,f00a9e916fe4453bb5ec336fd98c4fd4,medium,394-504,111,1,96.0535,5,4,0,4,1,9606,1.20.120.230,H,foldseek,12.528,0.335,Human,Homo sapiens,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Homo",[]
P26232,AF-P26232-F1-model_v4_TED05,P26232,b0183cd159c35e99f20ee8a3f2c567b4,medium,508-631,124,1,91.1231,5,4,0,4,1,9606,1.20.120.230,H,foldseek,12.175,0.334,Human,Homo sapiens,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Homo",[]
P26232,AF-P26232-F1-model_v4_TED06,P26232,e5e51040830e64b89598dceda4b0cb49,high,667-797_854-897,175,2,85.0227,7,6,0,6,1,9606,1.20.120.230,H,foldseek,12.207,0.32,Human,Homo sapiens,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Homo",[]
P21802,AF-P21802-F1-model_v4_TED01,P21802,9be8293057ca48ed1951ed39453c68fb,high,49-125,77,1,83.2952,18,1,8,9,9,9606,2.60.40.10,H,foldseek,10.308,0.293,Human,Homo_sapiens,"cellular_organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo",[]
P21802,AF-P21802-F1-model_v4_TED02,P21802,438c32a713f2b5e59d1e9c10b02d2efe,high,154-250,97,1,85.0955,25,3,10,13,12,9606,2.60.40.10,H,foldseek,11.643,0.289,Human,Homo_sapiens,"cellular_organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo","[{'af_id': 'AF-P21802-F1-model_v4', 'ted_id1': 'AF-P21802-F1-model_v4_TED05', 'ted_id2': 'AF-P21802-F1-model_v4_TED02', 'pae_score': 28.0, 'id': 61659644}]"
P21802,AF-P21802-F1-model_v4_TED03,P21802,b90e93ddddd18881888f2356d22dffb4,high,258-361,104,1,86.0388,19,2,7,9,10,9606,2.60.40.10,H,foldseek,10.509,0.291,Human,Homo_sapiens,"cellular_organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo","[{'af_id': 'AF-P21802-F1-model_v4', 'ted_id1': 'AF-P21802-F1-model_v4_TED05', 'ted_id2': 'AF-P21802-F1-model_v4_TED03', 'pae_score': 28.0, 'id': 61659645}]"
P21802,AF-P21802-F1-model_v4_TED04,P21802,c0f61ae903d73e2931e3f0e80d7fc079,medium,469-567,99,1,90.6421,17,2,5,7,10,9606,3.30.200.20,H,foldseek,11.264,0.275,Human,Homo_sapiens,"cellular_organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo","[{'af_id': 'AF-P21802-F1-model_v4', 'ted_id1': 'AF-P21802-F1-model_v4_TED05', 'ted_id2': 'AF-P21802-F1-model_v4_TED04', 'pae_score': 5.0, 'id': 14370141}]"
P21802,AF-P21802-F1-model_v4_TED05,P21802,4035e4f2cf07ad47b48e719d5b96ee76,medium,571-767,197,1,85.6915,32,9,6,15,16,9606,1.10.510.10,H,foldseek,12.196,0.3,Human,Homo_sapiens,"cellular_organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo","[{'af_id': 'AF-P21802-F1-model_v4', 'ted_id1': 'AF-P21802-F1-model_v4_TED05', 'ted_id2': 'AF-P21802-F1-model_v4_TED02', 'pae_score': 28.0, 'id': 61659644}, {'af_id': 'AF-P21802-F1-model_v4', 'ted_id1': 'AF-P21802-F1-model_v4_TED05', 'ted_id2': 'AF-P21802-F1-model_v4_TED03', 'pae_score': 28.0, 'id': 61659645}, {'af_id': 'AF-P21802-F1-model_v4', 'ted_id1': 'AF-P21802-F1-model_v4_TED05', 'ted_id2': 'AF-P21802-F1-model_v4_TED04', 'pae_score': 5.0, 'id': 14370141}]"
P11940,AF-P11940-F1-model_v4_TED01,P11940,3dc0e10ba020dafe3b04c3abf916ac4c,medium,11-183,173,1,93.0506,34,8,10,18,16,9606,3.30.70.330,H,foldseek,12.024,0.307,Human,Homo sapiens,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Homo",[]
P11940,AF-P11940-F1-model_v4_TED02,P11940,ece0993799a175a922999f30b9849903,high,189-266,78,1,92.794,13,2,5,7,6,9606,3.30.70.330,H,foldseek,12.667,0.273,Human,Homo sapiens,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Homo",[]
P11940,AF-P11940-F1-model_v4_TED03,P11940,17dfaf2a4772a1f70e23cd5e669a3a6c,high,292-373,82,1,94.3507,16,3,5,8,8,9606,3.30.70.330,H,foldseek,12.225,0.272,Human,Homo sapiens,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Homo",[]
P11940,AF-P11940-F1-model_v4_TED04,P11940,46888757faba785cbf16c6df22fb0aa3,high,553-627,75,1,87.1763,5,4,0,4,1,9606,1.10.1900.10,H,foldseek,11.22,0.304,Human,Homo sapiens,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Homo",[]
P49902,AF-P49902-F1-model_v4_TED01,P49902,4c5899a2b79d2cd650f292e4d4a6f60e,high,44-58_226-370,160,2,94.6927,30,7,8,15,14,9606,3.40.50.1000,H,foldseek,11.738,0.288,Human,Homo sapiens,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Homo",[]
P49902,AF-P49902-F1-model_v4_TED02,P49902,2af98524ea7cd78ad514bbfddfaef590,high,62-221,160,1,96.4998,32,6,8,14,18,9606,-,-,-,12.125,0.309,Human,Homo sapiens,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Homo",[]
P08575,AF-P08575-F1-model_v4_TED01,P08575,c915ed013809b91507e93507bfda4b62,medium,229-300,72,1,85.0111,18,0,7,7,10,9606,-,-,-,11.522,0.303,Human,Homo_sapiens,"cellular_organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo",[]
P08575,AF-P08575-F1-model_v4_TED02,P08575,70cacfb5b524458f49f51528f18f8b6e,medium,304-387,84,1,89.3243,17,2,7,9,8,9606,2.60.40.10,H,foldseek,11.88,0.294,Human,Homo_sapiens,"cellular_organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo","[{'af_id': 'AF-P08575-F1-model_v4', 'ted_id1': 'AF-P08575-F1-model_v4_TED02', 'ted_id2': 'AF-P08575-F1-model_v4_TED03', 'pae_score': 12.0, 'id': 30371887}]"
P08575,AF-P08575-F1-model_v4_TED03,P08575,ae3d327ecdd7436f6fe3eaac83bcfbfb,medium,397-480,84,1,90.08,14,0,7,7,7,9606,2.60.40.10,H,foldseek,11.429,0.284,Human,Homo_sapiens,"cellular_organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo","[{'af_id': 'AF-P08575-F1-model_v4', 'ted_id1': 'AF-P08575-F1-model_v4_TED02', 'ted_id2': 'AF-P08575-F1-model_v4_TED03', 'pae_score': 12.0, 'id': 30371887}, {'af_id': 'AF-P08575-F1-model_v4', 'ted_id1': 'AF-P08575-F1-model_v4_TED03', 'ted_id2': 'AF-P08575-F1-model_v4_TED04', 'pae_score': 12.0, 'id': 30371888}]"
