hgnc_symbol,gene_stable_id,Entry,pdb,refseq_id,exonCount
MTOR,ENSG00000198793,P42345,1AUE;1FAP;1NSG;2FAP;2GAQ;2NPU;2RSE;3FAP;3JBZ;4DRH;4DRI;4DRJ;4FAP;4JSN;4JSP;4JSV;4JSX;4JT5;4JT6;5FLC;5GPG;5H64;5WBH;5WBU;5WBY;5ZCS;6BCU;6BCX;6M4U;6M4W;6SB0;6SB2;6ZWM;6ZWO;7EPD;7OWG;7PE7;7PE8;7PE9;7PEA;7PEB;7PEC;7TZO;7UXC;7UXH;8ER6;8ER7;8ERA;8PPZ;8RCH;8RCK;8RCN;9F44;9F45;,NM_001386500.1,58
NBEA,ENSG00000172915,Q8NFP9,1MI1;,XM_047430269.1,58
NBEA,ENSG00000172915,Q8NFP9,1MI1;,NM_001379245.1,58
NBEA,ENSG00000172915,Q8NFP9,1MI1;,XM_017020545.2,58
NBEA,ENSG00000172915,Q8NFP9,1MI1;,XM_005266346.5,58
NBEA,ENSG00000172915,Q8NFP9,1MI1;,NM_015678.5,58
MTOR,ENSG00000198793,P42345,1AUE;1FAP;1NSG;2FAP;2GAQ;2NPU;2RSE;3FAP;3JBZ;4DRH;4DRI;4DRJ;4FAP;4JSN;4JSP;4JSV;4JSX;4JT5;4JT6;5FLC;5GPG;5H64;5WBH;5WBU;5WBY;5ZCS;6BCU;6BCX;6M4U;6M4W;6SB0;6SB2;6ZWM;6ZWO;7EPD;7OWG;7PE7;7PE8;7PE9;7PEA;7PEB;7PEC;7TZO;7UXC;7UXH;8ER6;8ER7;8ERA;8PPZ;8RCH;8RCK;8RCN;9F44;9F45;,NM_001386501.1,57
NBEA,ENSG00000172915,Q8NFP9,1MI1;,XM_006719805.4,57
NBEA,ENSG00000172915,Q8NFP9,1MI1;,XM_006719806.4,57
MTOR,ENSG00000198793,P42345,1AUE;1FAP;1NSG;2FAP;2GAQ;2NPU;2RSE;3FAP;3JBZ;4DRH;4DRI;4DRJ;4FAP;4JSN;4JSP;4JSV;4JSX;4JT5;4JT6;5FLC;5GPG;5H64;5WBH;5WBU;5WBY;5ZCS;6BCU;6BCX;6M4U;6M4W;6SB0;6SB2;6ZWM;6ZWO;7EPD;7OWG;7PE7;7PE8;7PE9;7PEA;7PEB;7PEC;7TZO;7UXC;7UXH;8ER6;8ER7;8ERA;8PPZ;8RCH;8RCK;8RCN;9F44;9F45;,XM_017000900.1,55
COL1A1,ENSG00000108821,P02452,1Q7D;2LLP;3EJH;3GXE;5CTD;5CTI;5CVA;5CVB;5K31;5OU8;5OU9;7E7B;7E7D;,NM_000088.4,51
MTOR,ENSG00000198793,P42345,1AUE;1FAP;1NSG;2FAP;2GAQ;2NPU;2RSE;3FAP;3JBZ;4DRH;4DRI;4DRJ;4FAP;4JSN;4JSP;4JSV;4JSX;4JT5;4JT6;5FLC;5GPG;5H64;5WBH;5WBU;5WBY;5ZCS;6BCU;6BCX;6M4U;6M4W;6SB0;6SB2;6ZWM;6ZWO;7EPD;7OWG;7PE7;7PE8;7PE9;7PEA;7PEB;7PEC;7TZO;7UXC;7UXH;8ER6;8ER7;8ERA;8PPZ;8RCH;8RCK;8RCN;9F44;9F45;,XR_007058581.1,51
MTOR,ENSG00000198793,P42345,1AUE;1FAP;1NSG;2FAP;2GAQ;2NPU;2RSE;3FAP;3JBZ;4DRH;4DRI;4DRJ;4FAP;4JSN;4JSP;4JSV;4JSX;4JT5;4JT6;5FLC;5GPG;5H64;5WBH;5WBU;5WBY;5ZCS;6BCU;6BCX;6M4U;6M4W;6SB0;6SB2;6ZWM;6ZWO;7EPD;7OWG;7PE7;7PE8;7PE9;7PEA;7PEB;7PEC;7TZO;7UXC;7UXH;8ER6;8ER7;8ERA;8PPZ;8RCH;8RCK;8RCN;9F44;9F45;,XM_047416721.1,51
NBEA,ENSG00000172915,Q8NFP9,1MI1;,XM_011535046.2,51
COL1A1,ENSG00000108821,P02452,1Q7D;2LLP;3EJH;3GXE;5CTD;5CTI;5CVA;5CVB;5K31;5OU8;5OU9;7E7B;7E7D;,XM_005257058.5,49
COL1A1,ENSG00000108821,P02452,1Q7D;2LLP;3EJH;3GXE;5CTD;5CTI;5CVA;5CVB;5K31;5OU8;5OU9;7E7B;7E7D;,XM_011524341.2,48
ATR,ENSG00000175054,Q13535,5YZ0;,NM_001184.4,47
ATR,ENSG00000175054,Q13535,5YZ0;,XM_047448361.1,47
ATR,ENSG00000175054,Q13535,5YZ0;,XM_011512924.2,47
NBEA,ENSG00000172915,Q8NFP9,1MI1;,XM_011535047.3,47
ATR,ENSG00000175054,Q13535,5YZ0;,NM_001354579.2,46
ATR,ENSG00000175054,Q13535,5YZ0;,XM_047448360.1,46
ATR,ENSG00000175054,Q13535,5YZ0;,XM_011512925.2,46
MTOR,ENSG00000198793,P42345,1AUE;1FAP;1NSG;2FAP;2GAQ;2NPU;2RSE;3FAP;3JBZ;4DRH;4DRI;4DRJ;4FAP;4JSN;4JSP;4JSV;4JSX;4JT5;4JT6;5FLC;5GPG;5H64;5WBH;5WBU;5WBY;5ZCS;6BCU;6BCX;6M4U;6M4W;6SB0;6SB2;6ZWM;6ZWO;7EPD;7OWG;7PE7;7PE8;7PE9;7PEA;7PEB;7PEC;7TZO;7UXC;7UXH;8ER6;8ER7;8ERA;8PPZ;8RCH;8RCK;8RCN;9F44;9F45;,XM_047416724.1,46
FANCD2,ENSG00000144554,Q9BXW9,6VAA;6VAD;6VAE;6VAF;7AY1;7KZQ;7KZR;7KZS;7KZT;7KZV;7ZF1;8A9J;8A9K;,NM_001018115.3,44
FANCD2,ENSG00000144554,Q9BXW9,6VAA;6VAD;6VAE;6VAF;7AY1;7KZQ;7KZR;7KZS;7KZT;7KZV;7ZF1;8A9J;8A9K;,NM_001319984.2,44
FANCD2,ENSG00000144554,Q9BXW9,6VAA;6VAD;6VAE;6VAF;7AY1;7KZQ;7KZR;7KZS;7KZT;7KZV;7ZF1;8A9J;8A9K;,NM_001374253.1,43
FANCD2,ENSG00000144554,Q9BXW9,6VAA;6VAD;6VAE;6VAF;7AY1;7KZQ;7KZR;7KZS;7KZT;7KZV;7ZF1;8A9J;8A9K;,NM_033084.6,43
FANCD2,ENSG00000144554,Q9BXW9,6VAA;6VAD;6VAE;6VAF;7AY1;7KZQ;7KZR;7KZS;7KZT;7KZV;7ZF1;8A9J;8A9K;,NM_001374254.1,42
CHD4,ENSG00000111642,Q14839,1MM2;1MM3;2EE1;2L5U;2L75;2N5N;4O9I;6BGG;6Q3M;6RYR;6RYU;8D4Y;,NM_001363606.2,40
CHD4,ENSG00000111642,Q14839,1MM2;1MM3;2EE1;2L5U;2L75;2N5N;4O9I;6BGG;6Q3M;6RYR;6RYU;8D4Y;,NM_001273.5,40
CHD4,ENSG00000111642,Q14839,1MM2;1MM3;2EE1;2L5U;2L75;2N5N;4O9I;6BGG;6Q3M;6RYR;6RYU;8D4Y;,NM_001297553.2,39
ATM,ENSG00000149311,Q13315,5NP0;5NP1;6HKA;6K9K;6K9L;7NI4;7NI5;7NI6;7SIC;7SID;8OXM;8OXO;8OXP;8OXQ;,XM_006718845.3,38
COL1A1,ENSG00000108821,P02452,1Q7D;2LLP;3EJH;3GXE;5CTD;5CTI;5CVA;5CVB;5K31;5OU8;5OU9;7E7B;7E7D;,XM_005257059.5,38
ATR,ENSG00000175054,Q13535,5YZ0;,XM_047448362.1,37
ATR,ENSG00000175054,Q13535,5YZ0;,XM_047448363.1,37
ATR,ENSG00000175054,Q13535,5YZ0;,XM_047448364.1,34
MTOR,ENSG00000198793,P42345,1AUE;1FAP;1NSG;2FAP;2GAQ;2NPU;2RSE;3FAP;3JBZ;4DRH;4DRI;4DRJ;4FAP;4JSN;4JSP;4JSV;4JSX;4JT5;4JT6;5FLC;5GPG;5H64;5WBH;5WBU;5WBY;5ZCS;6BCU;6BCX;6M4U;6M4W;6SB0;6SB2;6ZWM;6ZWO;7EPD;7OWG;7PE7;7PE8;7PE9;7PEA;7PEB;7PEC;7TZO;7UXC;7UXH;8ER6;8ER7;8ERA;8PPZ;8RCH;8RCK;8RCN;9F44;9F45;,XM_011541166.3,34
NOTCH2,ENSG00000134250,Q04721,2OO4;5MWB;,NM_024408.4,34
STAG1,ENSG00000118007,Q8WVM7,5QSM;5QSN;5QSO;5QSP;5QSQ;5QSR;5QSS;5QST;5QSU;5QSV;5QSW;5QSX;5QSY;5QSZ;6QB5;6R7O;6RRC;6RRK;6WG3;7W1M;,NM_005862.3,34
PTPRC,ENSG00000081237,P08575,1YGR;1YGU;5FMV;5FN6;5FN7;8VSE;,NM_002838.5,33
PTPRC,ENSG00000081237,P08575,1YGR;1YGU;5FMV;5FN6;5FN7;8VSE;,XM_047426381.1,33
STAG1,ENSG00000118007,Q8WVM7,5QSM;5QSN;5QSO;5QSP;5QSQ;5QSR;5QSS;5QST;5QSU;5QSV;5QSW;5QSX;5QSY;5QSZ;6QB5;6R7O;6RRC;6RRK;6WG3;7W1M;,XM_047447228.1,33
ATM,ENSG00000149311,Q13315,5NP0;5NP1;6HKA;6K9K;6K9L;7NI4;7NI5;7NI6;7SIC;7SID;8OXM;8OXO;8OXP;8OXQ;,XM_047426981.1,32
PTPRC,ENSG00000081237,P08575,1YGR;1YGU;5FMV;5FN6;5FN7;8VSE;,XM_006711472.5,32
PTPRC,ENSG00000081237,P08575,1YGR;1YGU;5FMV;5FN6;5FN7;8VSE;,XM_006711473.4,32
PTPRC,ENSG00000081237,P08575,1YGR;1YGU;5FMV;5FN6;5FN7;8VSE;,XM_047426398.1,32
STAG1,ENSG00000118007,Q8WVM7,5QSM;5QSN;5QSO;5QSP;5QSQ;5QSR;5QSS;5QST;5QSU;5QSV;5QSW;5QSX;5QSY;5QSZ;6QB5;6R7O;6RRC;6RRK;6WG3;7W1M;,XM_047447230.1,32
STAG1,ENSG00000118007,Q8WVM7,5QSM;5QSN;5QSO;5QSP;5QSQ;5QSR;5QSS;5QST;5QSU;5QSV;5QSW;5QSX;5QSY;5QSZ;6QB5;6R7O;6RRC;6RRK;6WG3;7W1M;,XM_047447229.1,32
PTPRC,ENSG00000081237,P08575,1YGR;1YGU;5FMV;5FN6;5FN7;8VSE;,XM_006711474.4,31
PTPRC,ENSG00000081237,P08575,1YGR;1YGU;5FMV;5FN6;5FN7;8VSE;,XM_047426409.1,31
KDR,ENSG00000128052,P35968,1VR2;1Y6A;1Y6B;1YWN;2M59;2MET;2MEU;2OH4;2P2H;2P2I;2QU5;2QU6;2RL5;2X1W;2X1X;2XIR;3B8Q;3B8R;3BE2;3C7Q;3CJF;3CJG;3CP9;3CPB;3CPC;3DTW;3EFL;3EWH;3KVQ;3S35;3S36;3S37;3U6J;3V2A;3V6B;3VHE;3VHK;3VID;3VNT;3VO3;3WZD;3WZE;4AG8;4AGC;4AGD;4ASD;4ASE;5EW3;5OYJ;6GQO;6GQP;6GQQ;6XVJ;6XVK;,NM_002253.4,30
POLQ,ENSG00000051341,O75417,4X0P;4X0Q;5A9F;5A9J;5AGA;6XBU;7ZUS;7ZX0;7ZX1;8E23;8E24;8GD7;8W0A;9ASJ;9ASK;9ASL;9AU8;9AU9;9BH6;9BH7;9BH8;9BH9;9BHA;9BP9;9BPA;9C5Q;,NM_199420.4,30
PTPRC,ENSG00000081237,P08575,1YGR;1YGU;5FMV;5FN6;5FN7;8VSE;,NM_080921.4,30
PTPRC,ENSG00000081237,P08575,1YGR;1YGU;5FMV;5FN6;5FN7;8VSE;,XM_047426415.1,30
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,NM_001378191.1,30
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,XM_017006986.2,30
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,XM_011533981.3,30
STAG1,ENSG00000118007,Q8WVM7,5QSM;5QSN;5QSO;5QSP;5QSQ;5QSR;5QSS;5QST;5QSU;5QSV;5QSW;5QSX;5QSY;5QSZ;6QB5;6R7O;6RRC;6RRK;6WG3;7W1M;,XM_047447231.1,30
ALK,ENSG00000171094,Q9UM73,2KUP;2KUQ;2XB7;2XBA;2XP2;2YFX;2YHV;2YJR;2YJS;2YS5;2YT2;3AOX;3L9P;3LCS;3LCT;4ANL;4ANQ;4ANS;4CCB;4CCU;4CD0;4CLI;4CLJ;4CMO;4CMT;4CMU;4CNH;4CTB;4CTC;4DCE;4FNW;4FNX;4FNY;4FNZ;4FOB;4FOC;4FOD;4JOA;4MKC;4TT7;4Z55;5A9U;5AA8;5AA9;5AAA;5AAB;5AAC;5FTO;5FTQ;5IMX;5IUG;5IUH;5IUI;5KZ0;5VZ5;6AT9;6CDT;6E0R;6EBW;6EDL;6MX8;7BTT;7JY4;7JYR;7JYS;7JYT;7LRZ;7LS0;7MZW;7MZY;7N00;7NWZ;7NX3;7NX4;7R7K;7R7R;8ARJ;9G5I;9GBE;,NM_004304.5,29
DCC,ENSG00000187323,P43146,2ED7;2ED8;2ED9;2EDB;2EDD;2EDE;3AU4;4URT;5X83;,XM_047437311.1,29
DCC,ENSG00000187323,P43146,2ED7;2ED8;2ED9;2EDB;2EDD;2EDE;3AU4;4URT;5X83;,XM_017025569.2,29
DCC,ENSG00000187323,P43146,2ED7;2ED8;2ED9;2EDB;2EDD;2EDE;3AU4;4URT;5X83;,XM_017025568.2,29
DCC,ENSG00000187323,P43146,2ED7;2ED8;2ED9;2EDB;2EDD;2EDE;3AU4;4URT;5X83;,NM_005215.4,29
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,NM_001378190.1,29
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,NM_001378195.1,29
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,NM_001378196.1,29
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,XM_017006987.2,29
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,XM_017006988.2,29
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,XM_011533982.2,29
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,XM_011533983.2,29
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,NM_001290040.2,28
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,NM_001378200.1,28
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,NM_001378201.1,28
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,NM_001378192.1,28
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,NM_001378194.1,28
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,NM_001394212.1,28
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,NM_001394213.1,28
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,XM_017006994.2,28
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,XM_047448670.1,28
ROBO2,ENSG00000185008,Q9HCK4,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,XM_047448669.1,28
