hgnc_symbol,Entry,entry_name,protein_length,pdb,domain_count,cath_labels
PIK3CB,P42338,PK3CB_HUMAN,1070,,5,"1.10.1070.11; 1.25.40.70; 2.60.40.150; 3.10.20.770; 3.10.20.90"
PIK3CA,P42336,PK3CA_HUMAN,1068,2ENQ;2RD0;3HHM;3HIZ;3ZIM;4JPS;4L1B;4L23;4L2Y;4OVU;4OVV;4TUU;4TV3;4WAF;4YKN;4ZOP;5DXH;5DXT;5FI4;5ITD;5SW8;5SWG;5SWO;5SWP;5SWR;5SWT;5SX8;5SX9;5SXA;5SXB;5SXC;5SXD;5SXE;5SXF;5SXI;5SXJ;5SXK;5UBR;5UK8;5UKJ;5UL1;5XGH;5XGI;5XGJ;6GVF;6GVG;6GVH;6GVI;6NCT;6OAC;6PYS;6VO7;7JIU;7K6M;7K6N;7K6O;7K71;7L1B;7L1C;7L1D;7MLK;7MYN;7MYO;7PG5;7PG6;7R9V;7R9Y;7RRG;7TZ7;8AM0;8BFU;8DCP;8DCX;8DD4;8DD8;8EXL;8EXO;8EXU;8EXV;8GUA;8GUB;8GUD;8ILR;8ILS;8ILV;8OW2;8SBC;8SBJ;8TDU;8TGD;8TS7;8TS8;8TS9;8TSA;8TSB;8TSC;8TSD;8TU6;8TWY;8V8H;8V8I;8V8J;8V8U;8V8V;8VCL;8W9A;8W9B;9ASF;9ASG;9B4S;9B4T;9C15;9E8M;,5,"1.10.1070.11; 1.25.40.70; 2.60.40.150; 3.10.20.90"
KIT,P10721,KIT_HUMAN,976,1PKG;1T45;1T46;2E9W;2EC8;2IUH;2VIF;3G0E;3G0F;4HVS;4K94;4K9E;4PGZ;4U0I;6GQJ;6GQK;6GQL;6GQM;6HH1;6ITT;6ITV;6KLA;6MOB;6XV9;6XVA;6XVB;7KHG;7KHJ;7KHK;7ZW8;7ZY6;8DFM;8DFP;8DFQ;8PQ9;8PQA;8PQB;8PQC;8PQD;8PQE;8PQF;8PQG;,5,"1.10.510.10; 2.60.40.10"
NTRK3,Q16288,NTRK3_HUMAN,839,1WWC;3V5Q;4YMJ;6KZC;6KZD;,5,"1.10.510.10; 2.60.40.10; 3.30.200.20; 3.80.10.10"
FGFR2,P21802,FGFR2_HUMAN,821,1DJS;1E0O;1EV2;1GJO;1II4;1IIL;1NUN;1OEC;1WVZ;2FDB;2PSQ;2PVF;2PVY;2PWL;2PY3;2PZ5;2PZP;2PZR;2Q0B;3B2T;3CAF;3CLY;3CU1;3DAR;3EUU;3OJ2;3OJM;3RI1;4J23;4J95;4J96;4J97;4J98;4J99;4WV1;5EG3;5UGL;5UGX;5UHN;5UI0;6AGX;6LVK;6LVL;6V6Q;7KIA;7KIE;7OZY;8E1X;8H75;8STG;8SWE;8U1F;8W2X;8W38;8W3B;8W3D;,5,"1.10.510.10; 2.60.40.10; 3.30.200.20"
NTRK1,P04629,NTRK1_HUMAN,796,1HE7;1SHC;1WWA;1WWW;2IFG;2N90;4AOJ;4CRP;4F0I;4GT5;4PMM;4PMP;4PMS;4PMT;4YNE;4YPS;5H3Q;5I8A;5JFS;5JFV;5JFW;5JFX;5KMI;5KMJ;5KMK;5KML;5KMM;5KMN;5KMO;5KVT;5WR7;6D1Y;6D1Z;6D20;6D22;6DKB;6DKG;6DKI;6DKW;6IQN;6J5L;6NPT;6NSP;6NSS;6PL1;6PL2;6PL3;6PL4;6PMA;6PMB;6PMC;6PME;7N3T;7VKM;7VKN;7VKO;7XAF;7XBI;8J5W;8J5X;8J61;8J63;8YTD;8YTE;,5,"1.10.510.10; 2.60.40.10; 3.30.200.20; 3.80.10.10"
ARID2,Q68CP9,ARID2_HUMAN,1835,7VDV;7Y8R;,4,"-; 1.10.10.10; 1.10.150.60; 1.25.10.10"
FANCD2,Q9BXW9,FACD2_HUMAN,1451,6VAA;6VAD;6VAE;6VAF;7AY1;7KZQ;7KZR;7KZS;7KZT;7KZV;7ZF1;8A9J;8A9K;,4,"-; 1.10.357; 1.25.10"
FUBP1,Q96AE4,FUBP1_HUMAN,644,1J4W;2KXH;4LIJ;6Y24;6Y2C;6Y2D;8P25;,4,3.30.1370.10
PABPC1,P11940,PABP1_HUMAN,636,1CVJ;1G9L;1JGN;1JH4;2K8G;2RQG;2RQH;2X04;3KTP;3KTR;3KUI;3KUJ;3KUR;3KUS;3KUT;3PKN;3PTH;4F02;4F25;4F26;5DX1;5DX8;5DXA;5LGP;5LGQ;5LGR;5LGS;7BN3;8SMO;,4,"1.10.1900.10; 3.30.70.330"
NF2,P35240,MERL_HUMAN,595,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,4,"1.20.120; 1.20.80.10; 2.30.29.30; 3.10.20.90"
ATR,Q13535,ATR_HUMAN,2644,5YZ0;,3,"-; 1.10.1070; 1.10.220"
ARID1A,O14497,ARI1A_HUMAN,2285,1RYU;6LTH;6LTJ;,3,"-; 1.10.150.60; 1.25.10.10"
KIAA1549,Q9HCM3,K1549_HUMAN,1950,,3,"3.30.70,3.30.70; 3.30.70.3310"
GRIN2A,Q12879,NMDE1_HUMAN,1464,3NFL;5H8F;5H8H;5H8N;5H8Q;5I2K;5I2N;5KCJ;5KDT;5TP9;5TPA;6IRA;6IRF;6IRG;6IRH;7EOQ;7EOR;7EOS;7EOT;7EOU;7EU7;8E99;8JIZ;8JJ0;8JJ1;8JJ2;8VUH;8VUJ;8VUL;8VUN;8VUQ;8VUR;8VUT;,3,"1.10.287,1.10.287; 3.40.190.10; 3.40.50.2300"
NSD2,O96028,NSD2_HUMAN,1365,5LSU;5VC8;6UE6;6XCG;7CRO;7E8D;7LMT;7MDN;7VLN;9EXW;9EXX;9EXY;9GBF;,3,"2.170.270.10; 2.30.30.140; 3.30.40.10"
USP8,P40818,UBP8_HUMAN,1118,1WHB;2A9U;2GFO;2GWF;3N3K;6F09;8ADM;8XPN;8Y9A;,3,"1.20.58.80; 3.40.250.10; 3.90.70.10"
KIF5B,P33176,KINH_HUMAN,963,1BG2;1MKJ;2P4N;3J8X;3J8Y;4HNA;4LNU;5LT0;5LT1;5LT2;5LT3;5LT4;6OJQ;7RIK;8IXA;8IXB;8IXD;8IXE;8IXF;8IXG;8RHB;8RHH;8RIK;8RIZ;9GNQ;,3,"-; 1.20.5; 3.40.850.10"
DNMT3A,Q9Y6K1,DNM3A_HUMAN,912,2QRV;3A1A;3A1B;3LLR;3SVM;4QBQ;4QBR;4QBS;4U7P;4U7T;5YX2;6BRR;6F57;6PA7;6W89;6W8B;6W8D;6W8J;8BA5;8QZM;8TDR;8TE1;8TE3;8TE4;8U5H;8UW1;,3,"-; 2.30.30.140; 3.40.50.150"
LZTR1,Q8N653,LZTR1_HUMAN,840,,3,"1.25.40; 2.120.10.80; 3.30.710.10"
PRDM1,O75626,PRDM1_HUMAN,825,3DAL;,3,"2.170.270.10; 3.30.160,3.30.160; 3.30.160.60"
ACSL6,Q9UKU0,ACSL6_HUMAN,697,,3,"-; 3.30.300.30; 3.40.50.980"
ZNF429,Q86V71,ZN429_HUMAN,674,,3,"-; 1.20.50; 3.30.160.60"
TGFBR2,P37173,TGFR2_HUMAN,567,1KTZ;1M9Z;1PLO;2PJY;3KFD;4P7U;4XJJ;5E8V;5E8Y;5E91;5E92;5QIN;5TX4;5TY4;7DV6;8G4K;8YGZ;9B9F;9E9G;9FDY;9FK5;9FKP;,3,"1.10.510.10; 2.10.60.10; 3.30.200.20"
CLP1,Q92989,CLP1_HUMAN,425,8HMY;8HMZ;,3,"2.40.30.330; 2.60.120.1030; 3.40.50.300"
BCORL1,Q5H9F3,BCORL_HUMAN,1785,4HPM;5JH5;,2,"1.25.40.20; 3.10.260.40"
STAG1,Q8WVM7,STAG1_HUMAN,1258,5QSM;5QSN;5QSO;5QSP;5QSQ;5QSR;5QSS;5QST;5QSU;5QSV;5QSW;5QSX;5QSY;5QSZ;6QB5;6R7O;6RRC;6RRK;6WG3;7W1M;,2,-
LATS1,O95835,LATS1_HUMAN,1130,4ZRK;5B5W;5BRK;7LWH;,2,"1.10.510.10; 3.30.200.20"
AR,P10275,ANDR_HUMAN,920,1E3G;1GS4;1T5Z;1T63;1T65;1XJ7;1XOW;1XQ3;1Z95;2AM9;2AMA;2AMB;2AO6;2AX6;2AX7;2AX8;2AX9;2AXA;2HVC;2OZ7;2PIO;2PIP;2PIQ;2PIR;2PIT;2PIU;2PIV;2PIW;2PIX;2PKL;2PNU;2Q7I;2Q7J;2Q7K;2Q7L;2YHD;2YLO;2YLP;2YLQ;2Z4J;3B5R;3B65;3B66;3B67;3B68;3BTR;3L3X;3L3Z;3RLJ;3RLL;3V49;3V4A;3ZQT;4HLW;4K7A;4OEA;4OED;4OEY;4OEZ;4OFR;4OFU;4OGH;4OH5;4OH6;4OHA;4OIL;4OIU;4OJ9;4OJB;4OK1;4OKB;4OKT;4OKW;4OKX;4OLM;4QL8;5CJ6;5JJM;5T8E;5T8J;5V8Q;5VO4;7ZTX;7ZTZ;7ZU1;7ZU2;8E1A;8FGY;8FGZ;8FH0;8FH1;8FH2;8RM6;8RM7;,2,"1.10.565.10; 3.30.50.10"
EPAS1,Q99814,EPAS1_HUMAN,870,1P97;2A24;3F1N;3F1O;3F1P;3H7W;3H82;4GHI;4GS9;4PKY;4XT2;5KIZ;5TBM;5UFP;6BVB;6CZW;6D09;6D0B;6D0C;6I7Q;6I7R;6X21;6X28;6X2H;6X37;6X3D;7Q5V;7Q5X;7UJV;8CK3;8CK4;8CK8;8Q5S;8Q64;8Q6D;8Q6E;8RUT;8RUV;8RUZ;8RV1;,2,3.30.450.20
EWSR1,Q01844,EWS_HUMAN,656,2CPE;,2,"2.20.28; 3.30.70.330"
CBFA2T3,O75081,MTG16_HUMAN,653,9DE2;,2,"-; 1.20.120.1110"
NT5C2,P49902,5NTC_HUMAN,561,2J2C;2JC9;2JCM;2XCV;2XCW;2XCX;2XJB;2XJC;2XJD;2XJE;2XJF;4H4B;5CQZ;5CR7;5K7Y;5L4Z;5L50;5OPK;5OPL;5OPM;5OPN;5OPO;5OPP;6DD3;6DDB;6DDC;6DDH;6DDK;6DDL;6DDO;6DDQ;6DDX;6DDY;6DDZ;6DE0;6DE1;6DE2;6DE3;6FIR;6FIS;6FIU;6FIW;6FXH;,2,"-; 3.40.50.1000"
FUS,P35637,FUS_HUMAN,526,2LA6;2LCW;4FDD;4FQ3;5W3N;5XRR;5XSG;5YVG;5YVH;5YVI;6BWZ;6BXV;6BZP;6G99;6GBM;6KJ1;6KJ2;6KJ3;6KJ4;6SNJ;6XFM;7CYL;7VQQ;,2,"3.30.70.330; 4.10.1060.10"
ETV6,P41212,ETV6_HUMAN,452,1JI7;1LKY;2DAO;2QAR;2QB0;2QB1;5L0P;7JU2;7N1O;7N2B;7T8J;7TDY;7TW7;7TW8;7TW9;7U4W;7U4Z;8BWU;8E1F;8FRJ;8FRK;8FT6;8FT8;8FZ3;8FZU;8FZV;8THA;9DAM;9DB5;9DOC;9DP8;9DVG;9FEH;,2,"1.10.10.10; 1.10.150.50"
FLI1,Q01543,FLI1_HUMAN,452,1FLI;1X66;2YTU;5E8G;5E8I;5JVT;6VG2;6VG8;6VGD;9CP6;9MWY;9MX8;9MX9;9MXA;,2,"1.10.10.10; 1.10.150.50"
PAX8,Q06710,PAX8_HUMAN,450,2K27;,2,1.10.10.10
GATA3,P23771,GATA3_HUMAN,443,4HC7;4HC9;4HCA;,2,3.30.50.10
SMARCB1,Q12824,SNF5_HUMAN,385,5AJ1;5GJK;5L7A;5L7B;6AX5;6KAG;6KZ7;6LTH;6LTJ;6LZP;6UCH;7VDV;7Y8R;,2,-
GNAQ,P50148,GNAQ_HUMAN,359,6VU5;7EZM;7F6G;7F6H;7F6I;7F8W;7W3Z;7W40;7XOW;8G59;8IA7;8IYS;8J9N;8JPB;8JPC;8JPE;8SZG;8UQN;8UQO;8XGO;8XGS;8Y52;8ZJD;8ZJE;9K27;,2,"1.10.400.10; 3.40.50.300"
