"automated_textmining","coexpression","combined_score","database_annotated","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"0.592","0.0","0.592","0.0","0.0","0","0.0","interacts with","CDKN2A (interacts with) FGFR2","0","9606.ENSP00000418915","9606.ENSP00000410294","0.0","false","interacts with","CDKN2A (interacts with) FGFR2"
"0.479","0.042","0.486","0.0","0.053","0","0.0","interacts with","CDKN2A (interacts with) PTPRC","0","9606.ENSP00000418915","9606.ENSP00000411355","0.0","false","interacts with","CDKN2A (interacts with) PTPRC"
"0.447","0.0","0.447","0.0","0.0","0","0.0","interacts with","CDKN2A (interacts with) KIAA1549","0","9606.ENSP00000418915","9606.ENSP00000416040","0.0","false","interacts with","CDKN2A (interacts with) KIAA1549"
"0.457","0.0","0.457","0.0","0.0","0","0.0","interacts with","CDKN2A (interacts with) PIK3CB","0","9606.ENSP00000418915","9606.ENSP00000501150","0.0","false","interacts with","CDKN2A (interacts with) PIK3CB"
"0.071","0.165","0.422","0.0","0.314","0","0.0","interacts with","CHD4 (interacts with) PABPC1","0","9606.ENSP00000440542","9606.ENSP00000313007","0.0","false","interacts with","CHD4 (interacts with) PABPC1"
"0.687","0.0","0.704","0.0","0.095","0","0.0","interacts with","CHD4 (interacts with) GATA3","0","9606.ENSP00000440542","9606.ENSP00000368632","0.0","false","interacts with","CHD4 (interacts with) GATA3"
"0.265","0.06","0.631","0.0","0.51","0","0.0","interacts with","CHD4 (interacts with) ZFHX3","0","9606.ENSP00000440542","9606.ENSP00000493252","0.0","false","interacts with","CHD4 (interacts with) ZFHX3"
"0.405","0.0","0.405","0.0","0.0","0","0.0","interacts with","CREB3L1 (interacts with) GNAQ","0","9606.ENSP00000481956","9606.ENSP00000286548","0.0","false","interacts with","CREB3L1 (interacts with) GNAQ"
"0.417","0.0","0.417","0.0","0.0","0","0.0","interacts with","CREB3L1 (interacts with) KIT","0","9606.ENSP00000481956","9606.ENSP00000288135","0.0","false","interacts with","CREB3L1 (interacts with) KIT"
"0.158","0.049","0.955","0.9","0.514","0","0.872","interacts with","CREB3L1 (interacts with) CREB3L2","0","9606.ENSP00000481956","9606.ENSP00000329140","0.0","false","interacts with","CREB3L1 (interacts with) CREB3L2"
"0.571","0.0","0.571","0.0","0.0","0","0.0","interacts with","CSMD3 (interacts with) PIK3CA","0","9606.ENSP00000297405","9606.ENSP00000263967","0.0","false","interacts with","CSMD3 (interacts with) PIK3CA"
"0.448","0.0","0.448","0.0","0.0","0","0.0","interacts with","CSMD3 (interacts with) FAT1","0","9606.ENSP00000297405","9606.ENSP00000406229","0.0","false","interacts with","CSMD3 (interacts with) FAT1"
"0.449","0.0","0.449","0.0","0.0","0","0.0","interacts with","CSMD3 (interacts with) ZFHX3","0","9606.ENSP00000297405","9606.ENSP00000493252","0.0","false","interacts with","CSMD3 (interacts with) ZFHX3"
"0.489","0.066","0.502","0.0","0.0","0","0.0","interacts with","CSMD3 (interacts with) ROBO2","0","9606.ENSP00000297405","9606.ENSP00000417335","0.0","false","interacts with","CSMD3 (interacts with) ROBO2"
"0.668","0.062","0.678","0.0","0.049","0","0.0","interacts with","CSMD3 (interacts with) FAT3","0","9606.ENSP00000297405","9606.ENSP00000432586","0.0","false","interacts with","CSMD3 (interacts with) FAT3"
"0.766","0.093","0.779","0.0","0.0","0","0.0","interacts with","CSMD3 (interacts with) LRP1B","0","9606.ENSP00000297405","9606.ENSP00000374135","0.0","false","interacts with","CSMD3 (interacts with) LRP1B"
"0.44","0.117","0.485","0.0","0.0","0","0.0","interacts with","CTNNA2 (interacts with) LRP1B","0","9606.ENSP00000384638","9606.ENSP00000374135","0.0","false","interacts with","CTNNA2 (interacts with) LRP1B"
"0.405","0.119","0.454","0.0","0.0","0","0.0","interacts with","CTNNA2 (interacts with) DCC","0","9606.ENSP00000384638","9606.ENSP00000389140","0.0","false","interacts with","CTNNA2 (interacts with) DCC"
"0.598","0.074","0.719","0.0","0.307","0","0.579","interacts with","DCC (interacts with) ROBO2","0","9606.ENSP00000389140","9606.ENSP00000417335","0.0","false","interacts with","DCC (interacts with) ROBO2"
"0.252","0.221","0.412","0.0","0.071","0","0.0","interacts with","EPAS1 (interacts with) TGFBR2","0","9606.ENSP00000263734","9606.ENSP00000351905","0.0","false","interacts with","EPAS1 (interacts with) TGFBR2"
"0.396","0.086","0.424","0.0","0.0","0","0.0","interacts with","EPAS1 (interacts with) PDGFB","0","9606.ENSP00000263734","9606.ENSP00000330382","0.0","false","interacts with","EPAS1 (interacts with) PDGFB"
"0.384","0.108","0.427","0.0","0.0","0","0.0","interacts with","EPAS1 (interacts with) KIT","0","9606.ENSP00000263734","9606.ENSP00000288135","0.0","false","interacts with","EPAS1 (interacts with) KIT"
"0.459","0.0","0.459","0.0","0.0","0","0.0","interacts with","EPAS1 (interacts with) PIK3CA","0","9606.ENSP00000263734","9606.ENSP00000263967","0.0","false","interacts with","EPAS1 (interacts with) PIK3CA"
"0.728","0.0","0.728","0.0","0.0","0","0.0","interacts with","EPAS1 (interacts with) MTOR","0","9606.ENSP00000263734","9606.ENSP00000354558","0.0","false","interacts with","EPAS1 (interacts with) MTOR"
"0.653","0.0","0.653","0.0","0.0","0","0.0","interacts with","FAT1 (interacts with) PIK3CA","0","9606.ENSP00000406229","9606.ENSP00000263967","0.0","false","interacts with","FAT1 (interacts with) PIK3CA"
"0.376","0.0","0.459","0.0","0.169","0","0.0","interacts with","FAT1 (interacts with) NRAS","0","9606.ENSP00000406229","9606.ENSP00000358548","0.0","false","interacts with","FAT1 (interacts with) NRAS"
"0.409","0.0","0.494","0.0","0.18","0","0.0","interacts with","FAT1 (interacts with) LATS1","0","9606.ENSP00000406229","9606.ENSP00000437550","0.0","false","interacts with","FAT1 (interacts with) LATS1"
"0.483","0.081","0.504","0.0","0.0","0","0.0","interacts with","FAT1 (interacts with) ROBO2","0","9606.ENSP00000406229","9606.ENSP00000417335","0.0","false","interacts with","FAT1 (interacts with) ROBO2"
"0.417","0.0","0.416","0.0","0.0","0","0.0","interacts with","FAT3 (interacts with) PIK3CA","0","9606.ENSP00000432586","9606.ENSP00000263967","0.0","false","interacts with","FAT3 (interacts with) PIK3CA"
"0.737","0.0","0.908","0.65","0.087","0","0.0","interacts with","FGFR2 (interacts with) PIK3CA","0","9606.ENSP00000410294","9606.ENSP00000263967","0.0","false","interacts with","FGFR2 (interacts with) PIK3CA"
"0.507","0.078","0.526","0.0","0.0","0","0.0","interacts with","FGFR2 (interacts with) GNAQ","0","9606.ENSP00000410294","9606.ENSP00000286548","0.0","false","interacts with","FGFR2 (interacts with) GNAQ"
"0.479","0.078","0.529","0.0","0.099","0","0.714","interacts with","FGFR2 (interacts with) KIT","0","9606.ENSP00000410294","9606.ENSP00000288135","0.0","false","interacts with","FGFR2 (interacts with) KIT"
"0.358","0.057","0.769","0.65","0.0","0","0.0","interacts with","FGFR2 (interacts with) PDGFB","0","9606.ENSP00000410294","9606.ENSP00000330382","0.0","false","interacts with","FGFR2 (interacts with) PDGFB"
"0.375","0.082","0.432","0.0","0.091","0","0.645","interacts with","FGFR2 (interacts with) NTRK3","0","9606.ENSP00000410294","9606.ENSP00000354207","0.0","false","interacts with","FGFR2 (interacts with) NTRK3"
"0.767","0.0","0.977","0.9","0.099","0","0.0","interacts with","FGFR2 (interacts with) NRAS","0","9606.ENSP00000410294","9606.ENSP00000358548","0.0","false","interacts with","FGFR2 (interacts with) NRAS"
"0.292","0.042","0.754","0.65","0.087","0","0.0","interacts with","FGFR2 (interacts with) PIK3CB","0","9606.ENSP00000410294","9606.ENSP00000501150","0.0","false","interacts with","FGFR2 (interacts with) PIK3CB"
"0.363","0.189","0.468","0.0","0.052","0","0.0","interacts with","FLI1 (interacts with) TGFBR2","0","9606.ENSP00000433488","9606.ENSP00000351905","0.0","false","interacts with","FLI1 (interacts with) TGFBR2"
"0.692","0.086","0.707","0.0","0.0","0","0.0","interacts with","GATA3 (interacts with) PAX8","0","9606.ENSP00000368632","9606.ENSP00000263334","0.0","false","interacts with","GATA3 (interacts with) PAX8"
"0.583","0.0","0.583","0.0","0.0","0","0.0","interacts with","GATA3 (interacts with) PIK3CA","0","9606.ENSP00000368632","9606.ENSP00000263967","0.0","false","interacts with","GATA3 (interacts with) PIK3CA"
"0.583","0.0","0.583","0.0","0.0","0","0.0","interacts with","GATA3 (interacts with) KIT","0","9606.ENSP00000368632","9606.ENSP00000288135","0.0","false","interacts with","GATA3 (interacts with) KIT"
"0.391","0.0","0.445","0.0","0.126","0","0.0","interacts with","GATA3 (interacts with) MTOR","0","9606.ENSP00000368632","9606.ENSP00000354558","0.0","false","interacts with","GATA3 (interacts with) MTOR"
"0.597","0.05","0.601","0.0","0.0","0","0.0","interacts with","GATA3 (interacts with) PRDM1","0","9606.ENSP00000368632","9606.ENSP00000358092","0.0","false","interacts with","GATA3 (interacts with) PRDM1"
"0.322","0.0","0.499","0.0","0.292","0","0.0","interacts with","GATA3 (interacts with) NFIB","0","9606.ENSP00000368632","9606.ENSP00000370340","0.0","false","interacts with","GATA3 (interacts with) NFIB"
"0.631","0.049","0.634","0.0","0.0","0","0.0","interacts with","GATA3 (interacts with) PTPRC","0","9606.ENSP00000368632","9606.ENSP00000411355","0.0","false","interacts with","GATA3 (interacts with) PTPRC"
"0.741","0.055","0.901","0.5","0.292","0","0.0","interacts with","GNAQ (interacts with) PIK3CA","0","9606.ENSP00000286548","9606.ENSP00000263967","0.0","false","interacts with","GNAQ (interacts with) PIK3CA"
"0.741","0.22","0.789","0.0","0.0","0","0.0","interacts with","GNAQ (interacts with) KIT","0","9606.ENSP00000286548","9606.ENSP00000288135","0.0","false","interacts with","GNAQ (interacts with) KIT"
"0.747","0.057","0.974","0.9","0.0","0","0.0","interacts with","GNAQ (interacts with) NRAS","0","9606.ENSP00000286548","9606.ENSP00000358548","0.0","false","interacts with","GNAQ (interacts with) NRAS"
"0.245","0.0","0.541","0.4","0.068","0","0.0","interacts with","KIAA1549 (interacts with) NRAS","0","9606.ENSP00000416040","9606.ENSP00000358548","0.0","false","interacts with","KIAA1549 (interacts with) NRAS"
"0.544","0.0","0.544","0.0","0.0","0","0.0","interacts with","KIT (interacts with) PAX8","0","9606.ENSP00000288135","9606.ENSP00000263334","0.0","false","interacts with","KIT (interacts with) PAX8"
"0.809","0.106","0.986","0.9","0.325","0","0.0","interacts with","KIT (interacts with) PIK3CA","0","9606.ENSP00000288135","9606.ENSP00000263967","0.0","false","interacts with","KIT (interacts with) PIK3CA"
"0.574","0.0","0.574","0.0","0.0","0","0.0","interacts with","KIT (interacts with) MTOR","0","9606.ENSP00000288135","9606.ENSP00000354558","0.0","false","interacts with","KIT (interacts with) MTOR"
"0.637","0.103","0.876","0.65","0.0","0","0.0","interacts with","KIT (interacts with) PDGFB","0","9606.ENSP00000288135","9606.ENSP00000330382","0.0","false","interacts with","KIT (interacts with) PDGFB"
"0.881","0.235","0.906","0.0","0.051","0","0.0","interacts with","KIT (interacts with) PTPRC","0","9606.ENSP00000288135","9606.ENSP00000411355","0.0","false","interacts with","KIT (interacts with) PTPRC"
"0.58","0.108","0.961","0.9","0.087","0","0.0","interacts with","KIT (interacts with) PIK3CB","0","9606.ENSP00000288135","9606.ENSP00000501150","0.0","false","interacts with","KIT (interacts with) PIK3CB"
"0.812","0.055","0.981","0.9","0.071","0","0.0","interacts with","KIT (interacts with) NRAS","0","9606.ENSP00000288135","9606.ENSP00000358548","0.0","false","interacts with","KIT (interacts with) NRAS"
"0.581","0.0","0.581","0.0","0.0","0","0.0","interacts with","LRP1B (interacts with) PIK3CA","0","9606.ENSP00000374135","9606.ENSP00000263967","0.0","false","interacts with","LRP1B (interacts with) PIK3CA"
"0.574","0.055","0.58","0.0","0.0","0","0.0","interacts with","LZTR1 (interacts with) PIK3CA","0","9606.ENSP00000496779","9606.ENSP00000263967","0.0","false","interacts with","LZTR1 (interacts with) PIK3CA"
"0.635","0.0","0.87","0.0","0.659","0","0.0","interacts with","LZTR1 (interacts with) NRAS","0","9606.ENSP00000496779","9606.ENSP00000358548","0.0","false","interacts with","LZTR1 (interacts with) NRAS"
"0.592","0.06","0.963","0.9","0.166","0","0.548","interacts with","MTOR (interacts with) PIK3CA","0","9606.ENSP00000354558","9606.ENSP00000263967","0.0","false","interacts with","MTOR (interacts with) PIK3CA"
"0.24","0.0","0.411","0.0","0.257","0","0.0","interacts with","MTOR (interacts with) NTRK3","0","9606.ENSP00000354558","9606.ENSP00000354207","0.0","false","interacts with","MTOR (interacts with) NTRK3"
"0.401","0.063","0.422","0.0","0.053","0","0.0","interacts with","MTOR (interacts with) PTPRC","0","9606.ENSP00000354558","9606.ENSP00000411355","0.0","false","interacts with","MTOR (interacts with) PTPRC"
"0.519","0.074","0.705","0.0","0.39","0","0.0","interacts with","MTOR (interacts with) NRAS","0","9606.ENSP00000354558","9606.ENSP00000358548","0.0","false","interacts with","MTOR (interacts with) NRAS"
"0.35","0.082","0.943","0.9","0.166","0","0.549","interacts with","MTOR (interacts with) PIK3CB","0","9606.ENSP00000354558","9606.ENSP00000501150","0.0","false","interacts with","MTOR (interacts with) PIK3CB"
"0.48","0.067","0.496","0.0","0.045","0","0.0","interacts with","NFIB (interacts with) NTRK3","0","9606.ENSP00000370340","9606.ENSP00000354207","0.0","false","interacts with","NFIB (interacts with) NTRK3"
"0.803","0.0","0.803","0.0","0.0","0","0.0","interacts with","NRAS (interacts with) PAX8","0","9606.ENSP00000358548","9606.ENSP00000263334","0.0","false","interacts with","NRAS (interacts with) PAX8"
"0.921","0.125","0.995","0.9","0.483","0","0.0","interacts with","NRAS (interacts with) PIK3CA","0","9606.ENSP00000358548","9606.ENSP00000263967","0.0","false","interacts with","NRAS (interacts with) PIK3CA"
"0.312","0.0","0.641","0.5","0.0","0","0.0","interacts with","NRAS (interacts with) PDGFB","0","9606.ENSP00000358548","9606.ENSP00000330382","0.0","false","interacts with","NRAS (interacts with) PDGFB"
"0.379","0.074","0.443","0.0","0.11","0","0.0","interacts with","NRAS (interacts with) TGFBR2","0","9606.ENSP00000358548","9606.ENSP00000351905","0.0","false","interacts with","NRAS (interacts with) TGFBR2"
"0.481","0.074","0.757","0.5","0.11","0","0.0","interacts with","NRAS (interacts with) NTRK3","0","9606.ENSP00000358548","9606.ENSP00000354207","0.0","false","interacts with","NRAS (interacts with) NTRK3"
"0.369","0.065","0.415","0.0","0.087","0","0.0","interacts with","NRAS (interacts with) PTPRC","0","9606.ENSP00000358548","9606.ENSP00000411355","0.0","false","interacts with","NRAS (interacts with) PTPRC"
"0.422","0.074","0.947","0.9","0.133","0","0.0","interacts with","NRAS (interacts with) PIK3CB","0","9606.ENSP00000358548","9606.ENSP00000501150","0.0","false","interacts with","NRAS (interacts with) PIK3CB"
"0.492","0.05","0.745","0.5","0.069","0","0.0","interacts with","NTRK3 (interacts with) PIK3CA","0","9606.ENSP00000354207","9606.ENSP00000263967","0.0","false","interacts with","NTRK3 (interacts with) PIK3CA"
"0.474","0.0","0.474","0.0","0.0","0","0.0","interacts with","PAX8 (interacts with) PIK3CA","0","9606.ENSP00000263334","9606.ENSP00000263967","0.0","false","interacts with","PAX8 (interacts with) PIK3CA"
"0.23","0.0","0.518","0.4","0.0","0","0.0","interacts with","PDGFB (interacts with) PIK3CA","0","9606.ENSP00000330382","9606.ENSP00000263967","0.0","false","interacts with","PDGFB (interacts with) PIK3CA"
